chromosome	start	end
1	1	840000
1	1560001	1605000
1	1620001	1680000
1	2580001	2700000
1	3855001	3990000
1	5715001	5745000
1	12870001	13785000
1	16800001	17280000
1	17550001	17580000
1	21735001	21795000
1	22290001	22350000
1	24255001	24375000
1	25590001	25665000
1	25680001	25755000
1	29880001	30015000
1	47310001	47370000
1	47385001	47415000
1	47535001	47580000
1	47595001	47640000
1	66000001	66030000
1	66645001	66675000
1	68445001	68475000
1	72765001	72810000
1	82695001	82725000
1	83595001	83955000
1	85980001	86010000
1	103785001	103905000
1	103920001	104010000
1	104130001	104295000
1	104400001	104430000
1	106005001	106035000
1	108750001	108855000
1	108900001	109035000
1	110220001	110250000
1	117135001	117195000
1	117750001	117780000
1	119370001	119400000
1	120540001	121215000
1	121290001	121320000
1	121350001	144945000
1	144960001	145380000
1	145755001	146535000
1	147390001	147780000
1	147825001	149040000
1	149145001	149190000
1	149220001	149850000
1	152550001	152595000
1	155580001	155610000
1	156165001	156195000
1	161400001	161445000
1	161475001	161640000
1	162750001	162795000
1	170055001	170085000
1	174555001	174585000
1	196710001	196740000
1	196755001	196830000
1	196875001	196920000
1	202335001	202395000
1	202425001	202500000
1	205935001	206190000
1	206340001	206580000
1	207360001	207390000
1	207690001	207750000
1	211785001	211815000
1	219765001	219795000
1	222645001	222690000
1	223725001	223785000
1	224070001	224235000
1	227670001	227700000
1	228150001	228180000
1	228735001	228780000
1	234900001	234960000
1	235200001	235230000
1	238095001	238125000
1	242415001	242535000
1	242955001	242985000
1	243045001	243375000
1	247425001	247455000
1	248580001	248745000
1	248790001	248835000
1	248910001	249060000
1	249225001	249250621
2	1515001	1545000
2	3540001	3570000
2	5025001	5115000
2	5760001	5790000
2	5820001	5850000
2	13515001	13560000
2	16290001	16320000
2	19185001	19230000
2	33060001	33090000
2	35970001	36000000
2	36315001	36345000
2	37950001	37995000
2	45285001	45315000
2	52755001	52785000
2	65100001	65130000
2	71250001	71280000
2	74010001	74040000
2	77895001	77925000
2	86940001	86970000
2	87060001	88305000
2	89070001	89100000
2	89130001	90105000
2	90120001	90225000
2	90240001	95430000
2	95445001	95535000
2	95550001	95580000
2	96075001	96165000
2	96255001	96360000
2	96375001	96735000
2	97665001	98010000
2	98025001	98265000
2	100695001	100725000
2	105450001	105480000
2	106830001	106875000
2	106980001	107130000
2	108435001	108540000
2	109110001	109155000
2	109260001	109380000
2	110115001	110250000
2	110490001	110865000
2	110985001	111390000
2	112005001	112380000
2	112470001	112650000
2	113115001	113205000
2	114060001	114435000
2	117765001	117795000
2	126915001	126945000
2	130680001	130710000
2	130725001	131010000
2	131025001	131055000
2	131145001	131475000
2	131940001	132165000
2	132180001	132315000
2	132345001	132390000
2	132435001	132465000
2	132495001	133020000
2	133035001	133125000
2	149700001	149790000
2	152430001	152460000
2	156105001	156135000
2	159705001	159735000
2	165825001	165855000
2	170100001	170130000
2	176970001	177000000
2	202140001	202170000
2	209610001	209655000
2	211995001	212025000
2	232680001	232725000
2	234000001	234045000
2	239805001	239820000
2	241605001	241650000
2	243015001	243199373
3	1	90000
3	615001	660000
3	3930001	3960000
3	22890001	22920000
3	58785001	58815000
3	66180001	66270000
3	75285001	75315000
3	75330001	75375000
3	75405001	75855000
3	75870001	75900000
3	75915001	75975000
3	80985001	81030000
3	90225001	93555000
3	93585001	93645000
3	96480001	96510000
3	112740001	112770000
3	123675001	123705000
3	125370001	125715000
3	129720001	129930000
3	136680001	136710000
3	140835001	140865000
3	147105001	147135000
3	157590001	157620000
3	162510001	162630000
3	170385001	170415000
3	179235001	179265000
3	195195001	195240000
3	195315001	195450000
3	195495001	195525000
3	195660001	195750000
3	197340001	197400000
3	197805001	198022430
4	1	75000
4	1425001	1470000
4	3540001	3630000
4	3885001	4200000
4	4215001	4245000
4	8940001	9765000
4	12270001	12300000
4	22590001	22635000
4	38430001	38460000
4	49065001	52695000
4	53070001	53100000
4	53310001	53340000
4	59745001	59775000
4	64185001	64215000
4	68250001	68280000
4	69375001	69540000
4	69660001	69690000
4	69855001	69885000
4	70020001	70050000
4	70065001	70320000
4	75285001	75330000
4	75435001	75495000
4	76305001	76335000
4	79020001	79050000
4	103815001	103905000
4	118575001	118605000
4	119340001	119595000
4	120255001	120390000
4	132585001	132900000
4	142275001	142305000
4	144705001	145020000
4	145035001	145080000
4	147540001	147570000
4	156360001	156390000
4	166125001	166215000
4	190185001	190215000
4	190470001	190695000
4	190800001	190830000
4	190845001	191154276
5	225001	270000
5	675001	765000
5	780001	840000
5	1575001	1635000
5	7170001	7200000
5	7275001	7305000
5	9990001	10020000
5	15270001	15300000
5	17490001	17640000
5	20700001	20955000
5	21270001	21390000
5	21450001	21585000
5	21945001	22020000
5	22125001	22215000
5	23505001	23535000
5	23880001	23910000
5	26220001	26250000
5	34065001	34410000
5	37440001	37470000
5	43320001	43350000
5	45900001	49560000
5	49665001	49755000
5	49800001	49830000
5	49890001	49950000
5	52755001	52785000
5	57315001	57345000
5	61515001	61545000
5	68835001	70755000
5	76905001	76935000
5	79920001	79950000
5	85560001	85605000
5	91650001	91680000
5	98730001	98775000
5	98805001	98880000
5	99375001	99450000
5	99660001	99735000
5	102000001	102030000
5	118755001	118785000
5	126225001	126255000
5	127065001	127095000
5	135090001	135150000
5	135615001	135645000
5	136860001	136890000
5	138795001	138825000
5	154530001	154560000
5	155145001	155175000
5	175350001	175560000
5	175620001	175725000
5	177045001	177375000
5	177435001	177480000
5	178155001	178185000
5	179055001	179085000
5	180705001	180915260
6	1	210000
6	255001	390000
6	26670001	26970000
6	29715001	29745000
6	29835001	29925000
6	31275001	31335000
6	31350001	31380000
6	31440001	31470000
6	31950001	32010000
6	32445001	32655000
6	44835001	44865000
6	51735001	51765000
6	52650001	52680000
6	57195001	57615000
6	57690001	57990000
6	58020001	58605000
6	58620001	61965000
6	62055001	62235000
6	66000001	66045000
6	73680001	73710000
6	74715001	74745000
6	78420001	78465000
6	83250001	83280000
6	86535001	86565000
6	95685001	95835000
6	99270001	99300000
6	103740001	103770000
6	132015001	132045000
6	157560001	157605000
6	157650001	157680000
6	161040001	161070000
6	161100001	161130000
6	167580001	167640000
6	167760001	167805000
6	167955001	168030000
6	170280001	170325000
6	170910001	171115067
7	1	45000
7	240001	270000
7	1260001	1290000
7	4620001	4650000
7	4995001	5040000
7	5070001	5100000
7	5160001	5205000
7	5295001	5325000
7	5820001	6030000
7	6750001	7050000
7	19920001	19950000
7	22530001	22575000
7	27180001	27240000
7	29700001	29745000
7	32655001	32715000
7	32730001	32790000
7	32805001	32835000
7	32850001	32910000
7	33000001	33045000
7	34950001	35055000
7	35085001	35280000
7	35940001	36015000
7	36585001	36615000
7	38280001	38310000
7	39810001	39840000
7	39885001	39930000
7	43995001	44085000
7	45765001	45900000
7	48885001	48915000
7	48945001	48975000
7	50385001	50400000
7	51435001	51495000
7	55725001	55830000
7	56385001	56520000
7	56610001	56655000
7	56670001	57270000
7	57285001	57315000
7	57465001	57705000
7	57720001	57840000
7	57885001	62475000
7	62535001	62610000
7	62625001	63375000
7	63480001	63585000
7	63600001	63705000
7	63720001	63795000
7	63810001	63900000
7	64050001	64140000
7	64275001	64305000
7	64470001	64695000
7	64950001	65190000
7	65205001	65280000
7	65310001	65370000
7	65895001	65970000
7	66015001	66060000
7	66450001	66810000
7	67680001	67710000
7	71985001	72210000
7	72225001	72375000
7	72390001	72720000
7	74145001	75150000
7	75705001	75795000
7	76065001	76815000
7	86865001	86895000
7	89730001	89790000
7	96630001	96660000
7	97500001	97650000
7	99825001	99945000
7	100545001	100620000
7	101280001	101325000
7	101955001	102030000
7	102120001	102450000
7	102795001	102930000
7	104625001	104655000
7	126525001	126570000
7	128100001	128310000
7	130155001	130245000
7	139380001	139395000
7	142050001	142095000
7	142290001	142320000
7	142335001	142395000
7	143220001	143535000
7	143550001	143580000
7	143880001	144075000
7	149580001	150015000
7	150270001	150300000
7	151905001	151935000
7	152460001	152550000
7	153405001	153525000
7	153660001	153870000
7	154275001	154365000
7	158115001	158145000
7	159120001	159138663
8	1	195000
8	240001	285000
8	345001	405000
8	1335001	1365000
8	2175001	2295000
8	2325001	2355000
8	6825001	6870000
8	6930001	8100000
8	11865001	12570000
8	21615001	21660000
8	32670001	32700000
8	43080001	43110000
8	43245001	43275000
8	43395001	47475000
8	47535001	47565000
8	47640001	47670000
8	47715001	47805000
8	48180001	48240000
8	57240001	57270000
8	62160001	62190000
8	86550001	86835000
8	90540001	90570000
8	102675001	102705000
8	135450001	135480000
8	142740001	142830000
8	142950001	142980000
8	145185001	145215000
8	145290001	145500000
8	146235001	146265000
8	146295001	146364022
9	1	195000
9	1185001	1215000
9	21180001	21210000
9	23355001	23385000
9	32685001	32715000
9	33375001	33405000
9	33480001	33630000
9	33645001	33690000
9	33705001	33795000
9	38475001	38625000
9	38775001	71025000
9	73320001	73350000
9	84525001	84570000
9	86415001	86535000
9	88350001	88470000
9	88755001	88785000
9	90525001	90570000
9	90720001	90750000
9	92355001	92430000
9	92535001	92670000
9	92955001	93000000
9	94845001	94875000
9	94890001	94920000
9	97065001	97200000
9	99660001	99795000
9	99825001	99870000
9	99945001	100035000
9	108540001	108585000
9	115815001	115860000
9	133080001	133215000
9	136080001	136110000
9	136410001	136455000
9	137040001	137085000
9	138405001	138435000
9	138915001	138945000
9	139170001	139215000
9	141015001	141213431
10	1	120000
10	4995001	5070000
10	5265001	5295000
10	15030001	15075000
10	17760001	18225000
10	18840001	18870000
10	21795001	21825000
10	22605001	22635000
10	26865001	26910000
10	26940001	26985000
10	27180001	27240000
10	27540001	27615000
10	29775001	29805000
10	30930001	31005000
10	36705001	36735000
10	37260001	37290000
10	37380001	37440000
10	37455001	37485000
10	38295001	38340000
10	38355001	38385000
10	38520001	42855000
10	42885001	42915000
10	43020001	43065000
10	43095001	43140000
10	43185001	43245000
10	43380001	43410000
10	45600001	45645000
10	45675001	45705000
10	46170001	47550000
10	47565001	47595000
10	47700001	48300000
10	48660001	49395000
10	51060001	51480000
10	51600001	51780000
10	51810001	52005000
10	52410001	52545000
10	56145001	56175000
10	57510001	57540000
10	75420001	75495000
10	81255001	81315000
10	81390001	81675000
10	81765001	81810000
10	81975001	82020000
10	88755001	88785000
10	88875001	89265000
10	93060001	93090000
10	95280001	95310000
10	96705001	96735000
10	96900001	96930000
10	101580001	101610000
10	111570001	111600000
10	124350001	124380000
10	125880001	125910000
10	127575001	127620000
10	128625001	128760000
10	129510001	129540000
10	131745001	131775000
10	133395001	133425000
10	133680001	133725000
10	135435001	135534747
11	1	195000
11	1155001	1215000
11	3270001	3360000
11	3405001	3630000
11	4245001	4380000
11	10515001	10545000
11	31815001	31845000
11	35100001	35130000
11	35775001	35805000
11	48330001	48555000
11	48570001	48600000
11	48645001	49080000
11	49095001	49155000
11	49170001	49905000
11	49920001	49950000
11	50010001	50100000
11	50220001	50265000
11	50295001	55035000
11	55050001	55080000
11	58800001	58830000
11	58845001	58875000
11	60975001	61020000
11	63090001	63120000
11	63180001	63225000
11	66330001	66360000
11	67470001	67770000
11	68385001	68415000
11	69090001	69135000
11	69705001	69795000
11	71295001	71625000
11	77625001	77670000
11	85125001	85155000
11	85740001	85770000
11	86235001	86265000
11	87510001	87540000
11	87690001	87735000
11	88575001	88890000
11	88965001	89160000
11	89280001	89835000
11	94080001	94125000
11	96300001	96435000
11	103275001	103305000
11	108225001	108255000
11	110250001	110280000
11	114405001	114435000
11	129675001	129720000
11	134790001	134865000
11	134940001	135006516
12	1	180000
12	7200001	7230000
12	7965001	7995000
12	8325001	8595000
12	9435001	9480000
12	9540001	9735000
12	10575001	10605000
12	11220001	11250000
12	11445001	11475000
12	20910001	20940000
12	31200001	31350000
12	33375001	33405000
12	34095001	34230000
12	34350001	34380000
12	34425001	38460000
12	38490001	38565000
12	38655001	38745000
12	51945001	51975000
12	54465001	54510000
12	55470001	55500000
