"chrom"	"chr.length"	"chrom.1"	"chr.cent"	"cent.gap"	"genome.length"
"chr1"	247249719	"chr1"	124550000	3450000	247249719
"chr2"	242951149	"chr2"	93350000	2350000	490200868
"chr3"	199501827	"chr3"	91300000	1900000	689702695
"chr4"	191273063	"chr4"	50550000	1850000	880975758
"chr5"	180857866	"chr5"	48150000	2350000	1061833624
"chr6"	170899992	"chr6"	60900000	2500000	1232733616
"chr7"	158821424	"chr7"	59250000	1850000	1391555040
"chr8"	146274826	"chr8"	45650000	2450000	1537829866
"chr9"	140273252	"chr9"	53500000	6800000	1678103118
"chr10"	135374737	"chr10"	40450000	1650000	1813477855
"chr11"	134452384	"chr11"	53900000	2500000	1947930239
"chr12"	132349534	"chr12"	34850000	1650000	2080279773
"chr13"	114142980	"chr13"	15950000	2450000	2194422753
"chr14"	106368585	"chr14"	16350000	2750000	2300791338
"chr15"	100338915	"chr15"	16250000	2150000	2401130253
"chr16"	88827254	"chr16"	37550000	3150000	2489957507
"chr17"	78774742	"chr17"	22650000	550000	2568732249
"chr18"	76117153	"chr18"	16350000	950000	2644849402
"chr19"	63811651	"chr19"	28450000	1750000	2708661053
"chr20"	62435964	"chr20"	27050000	1350000	2771097017
"chr21"	46944323	"chr21"	11600000	1600000	2818041340
"chr22"	49691432	"chr22"	12950000	3350000	2867732772
"chrX"	154913754	"chrX"	60800000	4200000	3022646526
"chrY"	57772954	"chrY"	11850000	650000	3080419480
