"chrom"	"chr.length"	"chr.cent"	"cent.gap"	"genome.length"
"chr1"	249250621	125200000	3700000	249250621
"chr2"	243199373	93650000	3150000	492449994
"chr3"	198022430	90900000	3e+06	690472424
"chr4"	191154276	50450000	2250000	881626700
"chr5"	180915260	48400000	2300000	1062541960
"chr6"	171115067	6.1e+07	2300000	1233657027
"chr7"	159138663	59850000	1850000	1392795690
"chr8"	146364022	45600000	2500000	1539159712
"chr9"	141213431	4.9e+07	1700000	1680373143
"chr10"	135534747	40150000	2150000	1815907890
"chr11"	135006516	53650000	2050000	1950914406
"chr12"	133851895	35750000	2450000	2084766301
"chr13"	115169878	17900000	1600000	2199936179
"chr14"	107349540	17600000	1500000	2307285719
"chr15"	102531392	18250000	2450000	2409817111
"chr16"	90354753	36600000	2e+06	2500171864
"chr17"	81195210	2.4e+07	1800000	2581367074
"chr18"	78077248	17200000	1800000	2659444322
"chr19"	59128983	26500000	2100000	2718573305
"chr20"	63025520	27500000	1900000	2781598825
"chr21"	48129895	12600000	1700000	2829728720
"chr22"	51304566	15050000	2850000	2881033286
"chrX"	155270560	60550000	2450000	3036303846
"chrY"	59373566	12500000	9e+05	3095677412
