"chrom"	"chr.length"	"chrom.1"	"chr.cent"	"cent.gap"	"genome.length"
"chr1"	248956422	"chr1"	123400000	1700000	248956422
"chr2"	242193529	"chr2"	93900000	2100000	491149951
"chr3"	198295559	"chr3"	90900000	3100000	689445510
"chr4"	190214555	"chr4"	5e+07	1800000	879660065
"chr5"	181538259	"chr5"	48750000	2650000	1061198324
"chr6"	170805979	"chr6"	60550000	2050000	1232004303
"chr7"	159345973	"chr7"	60100000	2e+06	1391350276
"chr8"	145138636	"chr8"	45200000	2e+06	1536488912
"chr9"	138394717	"chr9"	43850000	1650000	1674883629
"chr10"	133797422	"chr10"	39800000	1800000	1808681051
"chr11"	135086622	"chr11"	53400000	2400000	1943767673
"chr12"	133275309	"chr12"	35500000	2300000	2077042982
"chr13"	114364328	"chr13"	17700000	1200000	2191407310
"chr14"	107043718	"chr14"	17150000	1050000	2298451028
"chr15"	101991189	"chr15"	1.9e+07	1500000	2400442217
"chr16"	90338345	"chr16"	36850000	1550000	2490780562
"chr17"	83257441	"chr17"	25050000	2350000	2574038003
"chr18"	80373285	"chr18"	18450000	3050000	2654411288
"chr19"	58617616	"chr19"	26150000	1950000	2713028904
"chr20"	64444167	"chr20"	28050000	2350000	2777473071
"chr21"	46709983	"chr21"	11950000	1050000	2824183054
"chr22"	50818468	"chr22"	15550000	1850000	2875001522
"chrX"	156040895	"chrX"	60950000	2850000	3031042417
"chrY"	57227415	"chrY"	10450000	150000	3088269832
